10  
100 200 
1 2 -1 
1 3 -1 
1 4 -1 
1 5 1 
2 3 1 
2 4 1 
2 5 1 
3 4 -1 
3 5 -1 
4 5 1 
6 7 -1 
6 8 -1 
6 9 -1 
6 10 1 
7 8 1 
7 9 1 
7 10 1 
8 9 -1 
8 10 -1 
9 10 1 
11 12 -1 
11 13 -1 
11 14 -1 
11 15 1 
12 13 1 
12 14 1 
12 15 1 
13 14 -1 
13 15 -1 
14 15 1 
16 17 -1 
16 18 -1 
16 19 -1 
16 20 1 
17 18 1 
17 19 1 
17 20 1 
18 19 -1 
18 20 -1 
19 20 1 
21 22 -1 
21 23 -1 
21 24 -1 
21 25 1 
22 23 1 
22 24 1 
22 25 1 
23 24 -1 
23 25 -1 
24 25 1 
26 27 -1 
26 28 -1 
26 29 -1 
26 30 1 
27 28 1 
27 29 1 
27 30 1 
28 29 -1 
28 30 -1 
29 30 1 
31 32 -1 
31 33 -1 
31 34 -1 
31 35 1 
32 33 1 
32 34 1 
32 35 1 
33 34 -1 
33 35 -1 
34 35 1 
36 37 -1 
36 38 -1 
36 39 -1 
36 40 1 
37 38 1 
37 39 1 
37 40 1 
38 39 -1 
38 40 -1 
39 40 1 
41 42 -1 
41 43 -1 
41 44 -1 
41 45 1 
42 43 1 
42 44 1 
42 45 1 
43 44 -1 
43 45 -1 
44 45 1 
46 47 -1 
46 48 -1 
46 49 -1 
46 50 1 
47 48 1 
47 49 1 
47 50 1 
48 49 -1 
48 50 -1 
49 50 1 
51 52 -1 
51 53 -1 
51 54 -1 
51 55 1 
52 53 1 
52 54 1 
52 55 1 
53 54 -1 
53 55 -1 
54 55 1 
56 57 -1 
56 58 -1 
56 59 -1 
56 60 1 
57 58 1 
57 59 1 
57 60 1 
58 59 -1 
58 60 -1 
59 60 1 
61 62 -1 
61 63 -1 
61 64 -1 
61 65 1 
62 63 1 
62 64 1 
62 65 1 
63 64 -1 
63 65 -1 
64 65 1 
66 67 -1 
66 68 -1 
66 69 -1 
66 70 1 
67 68 1 
67 69 1 
67 70 1 
68 69 -1 
68 70 -1 
69 70 1 
71 72 -1 
71 73 -1 
71 74 -1 
71 75 1 
72 73 1 
72 74 1 
72 75 1 
73 74 -1 
73 75 -1 
74 75 1 
76 77 -1 
76 78 -1 
76 79 -1 
76 80 1 
77 78 1 
77 79 1 
77 80 1 
78 79 -1 
78 80 -1 
79 80 1 
81 82 -1 
81 83 -1 
81 84 -1 
81 85 1 
82 83 1 
82 84 1 
82 85 1 
83 84 -1 
83 85 -1 
84 85 1 
86 87 -1 
86 88 -1 
86 89 -1 
86 90 1 
87 88 1 
87 89 1 
87 90 1 
88 89 -1 
88 90 -1 
89 90 1 
91 92 -1 
91 93 -1 
91 94 -1 
91 95 1 
92 93 1 
92 94 1 
92 95 1 
93 94 -1 
93 95 -1 
94 95 1 
96 97 -1 
96 98 -1 
96 99 -1 
96 100 1 
97 98 1 
97 99 1 
97 100 1 
98 99 -1 
98 100 -1 
99 100 1 
100 200 
1 2 1 
1 3 1 
1 4 1 
1 5 -1 
2 3 -1 
2 4 -1 
2 5 -1 
3 4 1 
3 5 -1 
4 5 -1 
6 7 1 
6 8 1 
6 9 1 
6 10 -1 
7 8 -1 
7 9 -1 
7 10 -1 
8 9 1 
8 10 -1 
9 10 -1 
11 12 1 
11 13 1 
11 14 1 
11 15 -1 
12 13 -1 
12 14 -1 
12 15 -1 
13 14 1 
13 15 -1 
14 15 -1 
16 17 1 
16 18 1 
16 19 1 
16 20 -1 
17 18 -1 
17 19 -1 
17 20 -1 
18 19 1 
18 20 -1 
19 20 -1 
21 22 1 
21 23 1 
21 24 1 
21 25 -1 
22 23 -1 
22 24 -1 
22 25 -1 
23 24 1 
23 25 -1 
24 25 -1 
26 27 1 
26 28 1 
26 29 1 
26 30 -1 
27 28 -1 
27 29 -1 
27 30 -1 
28 29 1 
28 30 -1 
29 30 -1 
31 32 1 
31 33 1 
31 34 1 
31 35 -1 
32 33 -1 
32 34 -1 
32 35 -1 
33 34 1 
33 35 -1 
34 35 -1 
36 37 1 
36 38 1 
36 39 1 
36 40 -1 
37 38 -1 
37 39 -1 
37 40 -1 
38 39 1 
38 40 -1 
39 40 -1 
41 42 1 
41 43 1 
41 44 1 
41 45 -1 
42 43 -1 
42 44 -1 
42 45 -1 
43 44 1 
43 45 -1 
44 45 -1 
46 47 1 
46 48 1 
46 49 1 
46 50 -1 
47 48 -1 
47 49 -1 
47 50 -1 
48 49 1 
48 50 -1 
49 50 -1 
51 52 1 
51 53 1 
51 54 1 
51 55 -1 
52 53 -1 
52 54 -1 
52 55 -1 
53 54 1 
53 55 -1 
54 55 -1 
56 57 1 
56 58 1 
56 59 1 
56 60 -1 
57 58 -1 
57 59 -1 
57 60 -1 
58 59 1 
58 60 -1 
59 60 -1 
61 62 1 
61 63 1 
61 64 1 
61 65 -1 
62 63 -1 
62 64 -1 
62 65 -1 
63 64 1 
63 65 -1 
64 65 -1 
66 67 1 
66 68 1 
66 69 1 
66 70 -1 
67 68 -1 
67 69 -1 
67 70 -1 
68 69 1 
68 70 -1 
69 70 -1 
71 72 1 
71 73 1 
71 74 1 
71 75 -1 
72 73 -1 
72 74 -1 
72 75 -1 
73 74 1 
73 75 -1 
74 75 -1 
76 77 1 
76 78 1 
76 79 1 
76 80 -1 
77 78 -1 
77 79 -1 
77 80 -1 
78 79 1 
78 80 -1 
79 80 -1 
81 82 1 
81 83 1 
81 84 1 
81 85 -1 
82 83 -1 
82 84 -1 
82 85 -1 
83 84 1 
83 85 -1 
84 85 -1 
86 87 1 
86 88 1 
86 89 1 
86 90 -1 
87 88 -1 
87 89 -1 
87 90 -1 
88 89 1 
88 90 -1 
89 90 -1 
91 92 1 
91 93 1 
91 94 1 
91 95 -1 
92 93 -1 
92 94 -1 
92 95 -1 
93 94 1 
93 95 -1 
94 95 -1 
96 97 1 
96 98 1 
96 99 1 
96 100 -1 
97 98 -1 
97 99 -1 
97 100 -1 
98 99 1 
98 100 -1 
99 100 -1 
